Company Name,Ratings,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,Highly Rated for,Critical Rated for,Industry,Location
Randstad,3.7,4600,16800,331,6,342,7,,"Promotions / Appraisal, Job Security, Work Satisfaction",Recruitment,Hyderabad +360 other locations
Utkarsh Small Finance Bank,3.6,4600,11200,307,17,270,53,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Banking,Varanasi +410 other locations
EY Global Delivery Services ( EY GDS),3.5,4600,50800,888,9,264,16,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",IT Services & Consulting,Bengaluru +56 other locations
Hewlett Packard Enterprise,4,4600,27300,268,286,546,18,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,IT Services & Consulting,Bengaluru +104 other locations
Aditya Birla Fashion and Retail,4,4600,13000,268,90,391,14,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Fashion & Textile,Bengaluru +293 other locations
Cars24,3.5,4600,15500,409,63,410,17,,"Job Security, Promotions / Appraisal, Company Culture",Internet,Gurugram +171 other locations
Home Credit Finance,4,4600,9400,149,91,629,6,"Work Life Balance, Company Culture, Skill Development / Learning",,NBFC,Gurugram +139 other locations
L&T Finance,3.9,4500,11600,220,,259,34,"Salary & Benefits, Job Security",Promotions / Appraisal,NBFC,Mumbai +641 other locations
Mahindra Logistics,3.7,4500,12900,253,139,446,24,,"Promotions / Appraisal, Salary & Benefits",Logistics,Mumbai +234 other locations
Havells,3.9,4500,14700,295,23,315,9,"Work Life Balance, Salary & Benefits",Promotions / Appraisal,Electrical Equipment,Noida +263 other locations
Dell,3.8,4500,28800,425,30,540,25,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security",Consumer Electronics & Appliances,Bengaluru +118 other locations
R1 RCM,3.8,4500,21900,359,199,335,23,Job Security,Promotions / Appraisal,BPO,New Delhi +46 other locations
Intas Pharmaceuticals,4.1,4500,17200,262,47,362,9,"Job Security, Salary & Benefits, Work Life Balance",,Pharma,Ahmedabad +150 other locations
OPPO,3.9,4500,11800,252,5,602,10,Skill Development / Learning,"Promotions / Appraisal, Job Security",Consumer Electronics & Appliances,Greater Noida +412 other locations
Tata AIA Life Insurance,3.9,4400,14000,254,751,298,23,"Job Security, Skill Development / Learning, Salary & Benefits",,Insurance,Mumbai +448 other locations
Hetero,3.9,4400,15300,327,79,332,13,"Job Security, Work Life Balance",Promotions / Appraisal,Pharma,Hyderabad +70 other locations
Deutsche Bank,3.8,4400,36900,426,620,399,79,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Banking,Pune +42 other locations
Hyundai Motor India Limited,4.1,4400,14200,326,,519,31,"Job Security, Skill Development / Learning, Salary & Benefits",,Automobile,Chennai +287 other locations
Berger Paints,3.7,4400,10400,434,107,273,6,,"Promotions / Appraisal, Company Culture, Work Life Balance",Chemicals,Kolkata +361 other locations
Motilal Oswal Financial Services,3.7,4400,12900,551,41,167,90,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Financial Services,Mumbai +170 other locations
TeamLease Services,3.9,4300,16200,253,2,215,6,Work Life Balance,Promotions / Appraisal,Recruitment,Bengaluru +401 other locations
Lenskart,3.3,4300,13000,454,182,199,23,,"Promotions / Appraisal, Company Culture, Work Life Balance",Internet,New Delhi +244 other locations
VE Commercial Vehicles,3.9,4300,14100,289,1,340,12,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Automobile,Indore +181 other locations
Thermax Limited,4.2,4200,13200,344,62,371,24,"Job Security, Company Culture, Work Life Balance",,Industrial Machinery,Pune +255 other locations
Macleods Pharmaceuticals,3.7,4200,15600,270,10,334,3,Job Security,"Promotions / Appraisal, Company Culture",Pharma,Mumbai +135 other locations
Bajaj Auto,3.8,4200,14500,327,,496,19,,Promotions / Appraisal,Automobile,Pune +321 other locations
Jubilant Foods Works,3.7,4200,9600,254,319,180,18,,Promotions / Appraisal,Hospitality,New Delhi +263 other locations
Aakash Educational Services,3.2,4200,13800,374,106,212,25,,"Promotions / Appraisal, Work Life Balance, Job Security",Education & Training,New Delhi +248 other locations
Kogta Financial India Limited,4.7,4100,1900,251,137,31,39,"Company Culture, Work Life Balance, Work Satisfaction",,NBFC,Jaipur +261 other locations
LG Electronics,3.9,4100,11200,262,,399,18,"Job Security, Skill Development / Learning",Promotions / Appraisal,Consumer Electronics & Appliances,Pune +300 other locations
Hindalco Industries,4.2,4100,12800,308,12,327,10,"Job Security, Work Life Balance, Skill Development / Learning",,Metals & Mining,Sambalpur +129 other locations
Jindal Steel Limited,3.9,4100,15700,421,51,328,37,Skill Development / Learning,Promotions / Appraisal,Iron & Steel,Angul +175 other locations
State Street Corporation,3.5,4100,32500,292,6,262,11,,"Promotions / Appraisal, Salary & Benefits, Company Culture",Financial Services,Bengaluru +35 other locations
Royal Enfield,4.2,4100,14900,203,16,396,38,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal,Automobile,Chennai +377 other locations
DCB Bank,3.8,4000,9800,231,21,248,23,Work Life Balance,Promotions / Appraisal,Banking,Mumbai +346 other locations
HDFC Ergo General Insurance,4,4000,12100,201,311,273,7,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Insurance,Mumbai +328 other locations
Tata Communications,3.9,4000,23500,303,234,426,13,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",Telecom,Pune +102 other locations
